Algo,method,size,q,seed,k,Mean,Sdev
part2.RankSelectSpaceEfficient,rank,384000,1500,34,64,111683.500000,25237.166055
part2.RankSelectSpaceEfficient,select,384000,1500,34,64,1540518.500000,33880.323039
part2.RankSelectNaive,rank,768000,1500,34,0,267054609.500000,1364769.471081
part2.RankSelectNaive,select,768000,1500,34,0,821235985.500000,2466044.939497
part2.RankSelectLookUp,rank,768000,1500,34,0,8205.500000,11171.433407
part2.RankSelectLookUp,select,768000,1500,34,0,107591.000000,7481.496035
part2.RankSelectSpaceEfficient,rank,768000,1500,34,3,22957.500000,837.646710
part2.RankSelectSpaceEfficient,select,768000,1500,34,3,272431.000000,6051.681854
part2.RankSelectSpaceEfficient,rank,768000,1500,34,10,36603.000000,3074.582294
part2.RankSelectSpaceEfficient,select,768000,1500,34,10,393062.000000,4752.429265
part2.RankSelectSpaceEfficient,rank,768000,1500,34,64,100695.000000,474.976857
part2.RankSelectSpaceEfficient,select,768000,1500,34,64,1541454.000000,31466.226355
part2.RankSelectNaive,rank,96000,1500,586478,0,34717326.500000,387924.705231
part2.RankSelectNaive,select,96000,1500,586478,0,90843608.000000,782997.464415
part2.RankSelectLookUp,rank,96000,1500,586478,0,7089.500000,1883.821560
part2.RankSelectLookUp,select,96000,1500,586478,0,70360.000000,1835.386394
part2.RankSelectSpaceEfficient,rank,96000,1500,586478,3,22834.000000,613.863292
part2.RankSelectSpaceEfficient,select,96000,1500,586478,3,221112.000000,5890.999523
part2.RankSelectSpaceEfficient,rank,96000,1500,586478,10,35415.000000,513.706601
part2.RankSelectSpaceEfficient,select,96000,1500,586478,10,335432.000000,5989.578554
part2.RankSelectSpaceEfficient,rank,96000,1500,586478,64,99564.500000,2915.267341
part2.RankSelectSpaceEfficient,select,96000,1500,586478,64,1181284.500000,59089.612635
part2.RankSelectNaive,rank,192000,1500,586478,0,67694125.000000,644543.440585
part2.RankSelectNaive,select,192000,1500,586478,0,187176350.500000,1060174.425158
part2.RankSelectLookUp,rank,192000,1500,586478,0,7332.000000,1981.770185
part2.RankSelectLookUp,select,192000,1500,586478,0,82454.000000,3168.482350
part2.RankSelectSpaceEfficient,rank,192000,1500,586478,3,22879.500000,641.942522
part2.RankSelectSpaceEfficient,select,192000,1500,586478,3,234616.500000,1274.401130
part2.RankSelectSpaceEfficient,rank,192000,1500,586478,10,35564.000000,2516.259488
part2.RankSelectSpaceEfficient,select,192000,1500,586478,10,364572.000000,42549.516127
part2.RankSelectSpaceEfficient,rank,192000,1500,586478,64,100549.500000,12152.816732
part2.RankSelectSpaceEfficient,select,192000,1500,586478,64,1335346.500000,49066.569361
part2.RankSelectNaive,rank,384000,1500,586478,0,130917542.500000,1100747.395588
part2.RankSelectNaive,select,384000,1500,586478,0,384148824.500000,2418682.420653
part2.RankSelectLookUp,rank,384000,1500,586478,0,7324.000000,2089.366233
part2.RankSelectLookUp,select,384000,1500,586478,0,97042.500000,4610.698042
part2.RankSelectSpaceEfficient,rank,384000,1500,586478,3,22928.500000,648.258393
part2.RankSelectSpaceEfficient,select,384000,1500,586478,3,254323.000000,5689.598285
part2.RankSelectSpaceEfficient,rank,384000,1500,586478,10,35726.500000,2886.434700
part2.RankSelectSpaceEfficient,select,384000,1500,586478,10,377459.000000,3151.041784
